# x u(x)
# t=0 kappa=0.01 N=200
0 0
0.005 -0.00337021
0.01 -0.00673655
0.015 -0.0100951
0.02 -0.0134421
0.025 -0.0167736
0.03 -0.0200857
0.035 -0.0233746
0.04 -0.0266364
0.045 -0.0298673
0.05 -0.0330634
0.055 -0.036221
0.06 -0.0393361
0.065 -0.042405
0.07 -0.0454238
0.075 -0.0483888
0.08 -0.0512963
0.085 -0.0541423
0.09 -0.0569233
0.095 -0.0596354
0.1 -0.062275
0.105 -0.0648383
0.11 -0.0673217
0.115 -0.0697215
0.12 -0.0720341
0.125 -0.0742559
0.13 -0.0763833
0.135 -0.0784127
0.14 -0.0803405
0.145 -0.0821633
0.15 -0.0838775
0.155 -0.0854797
0.16 -0.0869665
0.165 -0.0883344
0.17 -0.0895801
0.175 -0.0907001
0.18 -0.0916913
0.185 -0.0925502
0.19 -0.0932737
0.195 -0.0938585
0.2 -0.0943014
0.205 -0.0945993
0.21 -0.094749
0.215 -0.0947475
0.22 -0.0945918
0.225 -0.0942788
0.23 -0.0938055
0.235 -0.0931691
0.24 -0.0923666
0.245 -0.0913952
0.25 -0.0902521
0.255 -0.0889346
0.26 -0.0874398
0.265 -0.0857652
0.27 -0.0839081
0.275 -0.081866
0.28 -0.0796362
0.285 -0.0772163
0.29 -0.0746038
0.295 -0.0717964
0.3 -0.0687917
0.305 -0.0655873
0.31 -0.0621811
0.315 -0.0585709
0.32 -0.0547544
0.325 -0.0507296
0.33 -0.0464944
0.335 -0.0420468
0.34 -0.0373849
0.345 -0.0325068
0.35 -0.0274107
0.355 -0.0220947
0.36 -0.0165571
0.365 -0.0107963
0.37 -0.0048106
0.375 0.00140153
0.38 0.00784161
0.385 0.0145111
0.39 0.0214114
0.395 0.0285438
0.4 0.0359097
0.405 0.0435102
0.41 0.0513465
0.415 0.0594198
0.42 0.0677311
0.425 0.0762813
0.43 0.0850715
0.435 0.0941024
0.44 0.103375
0.445 0.11289
0.45 0.122648
0.455 0.132649
0.46 0.142895
0.465 0.153385
0.47 0.164121
0.475 0.175102
0.48 0.186328
0.485 0.197799
0.49 0.209511
0.495 0.221442
0.5 0.232457
0.505 0.221442
0.51 0.209511
0.515 0.197799
0.52 0.186328
0.525 0.175102
0.53 0.164121
0.535 0.153385
0.54 0.142895
0.545 0.132649
0.55 0.122648
0.555 0.11289
0.56 0.103375
0.565 0.0941024
0.57 0.0850715
0.575 0.0762813
0.58 0.0677311
0.585 0.0594198
0.59 0.0513465
0.595 0.0435102
0.6 0.0359097
0.605 0.0285438
0.61 0.0214114
0.615 0.0145111
0.62 0.00784161
0.625 0.00140153
0.63 -0.0048106
0.635 -0.0107963
0.64 -0.0165571
0.645 -0.0220947
0.65 -0.0274107
0.655 -0.0325068
0.66 -0.0373849
0.665 -0.0420468
0.67 -0.0464944
0.675 -0.0507296
0.68 -0.0547544
0.685 -0.0585709
0.69 -0.0621811
0.695 -0.0655873
0.7 -0.0687917
0.705 -0.0717964
0.71 -0.0746038
0.715 -0.0772163
0.72 -0.0796362
0.725 -0.081866
0.73 -0.0839081
0.735 -0.0857652
0.74 -0.0874398
0.745 -0.0889346
0.75 -0.0902521
0.755 -0.0913952
0.76 -0.0923666
0.765 -0.0931691
0.77 -0.0938055
0.775 -0.0942788
0.78 -0.0945918
0.785 -0.0947475
0.79 -0.094749
0.795 -0.0945993
0.8 -0.0943014
0.805 -0.0938585
0.81 -0.0932737
0.815 -0.0925502
0.82 -0.0916913
0.825 -0.0907001
0.83 -0.0895801
0.835 -0.0883344
0.84 -0.0869665
0.845 -0.0854797
0.85 -0.0838775
0.855 -0.0821633
0.86 -0.0803405
0.865 -0.0784127
0.87 -0.0763833
0.875 -0.0742559
0.88 -0.0720341
0.885 -0.0697215
0.89 -0.0673217
0.895 -0.0648383
0.9 -0.062275
0.905 -0.0596354
0.91 -0.0569233
0.915 -0.0541423
0.92 -0.0512963
0.925 -0.0483888
0.93 -0.0454238
0.935 -0.042405
0.94 -0.0393361
0.945 -0.036221
0.95 -0.0330634
0.955 -0.0298673
0.96 -0.0266364
0.965 -0.0233746
0.97 -0.0200857
0.975 -0.0167736
0.98 -0.0134421
0.985 -0.0100951
0.99 -0.00673655
0.995 -0.00337021
1 -1.17683e-16
